ward_name,month,number_of_crimes
Ancoats and Clayton,2018-01,26
Ancoats and Clayton,2018-02,20
Ancoats and Clayton,2018-03,25
Ancoats and Clayton,2018-04,27
Ancoats and Clayton,2018-05,35
Ancoats and Clayton,2018-06,28
Ancoats and Clayton,2018-07,37
Ancoats and Clayton,2018-08,27
Ancoats and Clayton,2018-09,33
Ancoats and Clayton,2018-10,26
Ancoats and Clayton,2018-11,25
Ancoats and Clayton,2018-12,24
Ardwick,2018-01,16
Ardwick,2018-02,19
Ardwick,2018-03,29
Ardwick,2018-04,24
Ardwick,2018-05,21
Ardwick,2018-06,20
Ardwick,2018-07,40
Ardwick,2018-08,33
Ardwick,2018-09,22
Ardwick,2018-10,31
Ardwick,2018-11,18
Ardwick,2018-12,33
Baguley,2018-01,6
Baguley,2018-02,14
Baguley,2018-03,11
Baguley,2018-04,9
Baguley,2018-05,11
Baguley,2018-06,18
Baguley,2018-07,15
Baguley,2018-08,8
Baguley,2018-09,10
Baguley,2018-10,10
Baguley,2018-11,12
Baguley,2018-12,10
Bradford,2018-01,23
Bradford,2018-02,19
Bradford,2018-03,24
Bradford,2018-04,25
Bradford,2018-05,33
Bradford,2018-06,25
Bradford,2018-07,19
Bradford,2018-08,10
Bradford,2018-09,22
Bradford,2018-10,21
Bradford,2018-11,22
Bradford,2018-12,18
Brooklands,2018-01,12
Brooklands,2018-02,5
Brooklands,2018-03,12
Brooklands,2018-04,11
Brooklands,2018-05,18
Brooklands,2018-06,10
Brooklands,2018-07,10
Brooklands,2018-08,9
Brooklands,2018-09,13
Brooklands,2018-10,12
Brooklands,2018-11,28
Brooklands,2018-12,26
Burnage,2018-01,19
Burnage,2018-02,25
Burnage,2018-03,32
Burnage,2018-04,16
Burnage,2018-05,14
Burnage,2018-06,15
Burnage,2018-07,12
Burnage,2018-08,20
Burnage,2018-09,15
Burnage,2018-10,9
Burnage,2018-11,27
Burnage,2018-12,15
Charlestown,2018-01,9
Charlestown,2018-02,21
Charlestown,2018-03,10
Charlestown,2018-04,19
Charlestown,2018-05,14
Charlestown,2018-06,13
Charlestown,2018-07,13
Charlestown,2018-08,10
Charlestown,2018-09,7
Charlestown,2018-10,12
Charlestown,2018-11,13
Charlestown,2018-12,20
Cheetham,2018-01,30
Cheetham,2018-02,24
Cheetham,2018-03,17
Cheetham,2018-04,17
Cheetham,2018-05,25
Cheetham,2018-06,15
Cheetham,2018-07,24
Cheetham,2018-08,17
Cheetham,2018-09,22
Cheetham,2018-10,25
Cheetham,2018-11,41
Cheetham,2018-12,33
Chorlton,2018-01,10
Chorlton,2018-02,7
Chorlton,2018-03,8
Chorlton,2018-04,11
Chorlton,2018-05,8
Chorlton,2018-06,12
Chorlton,2018-07,8
Chorlton,2018-08,18
Chorlton,2018-09,27
Chorlton,2018-10,26
Chorlton,2018-11,12
Chorlton,2018-12,9
Chorlton Park,2018-01,23
Chorlton Park,2018-02,32
Chorlton Park,2018-03,25
Chorlton Park,2018-04,19
Chorlton Park,2018-05,17
Chorlton Park,2018-06,15
Chorlton Park,2018-07,18
Chorlton Park,2018-08,24
Chorlton Park,2018-09,28
Chorlton Park,2018-10,18
Chorlton Park,2018-11,28
Chorlton Park,2018-12,15
City Centre,2018-01,58
City Centre,2018-02,62
City Centre,2018-03,65
City Centre,2018-04,41
City Centre,2018-05,101
City Centre,2018-06,71
City Centre,2018-07,63
City Centre,2018-08,64
City Centre,2018-09,57
City Centre,2018-10,75
City Centre,2018-11,68
City Centre,2018-12,49
Crumpsall,2018-01,9
Crumpsall,2018-02,7
Crumpsall,2018-03,20
Crumpsall,2018-04,13
Crumpsall,2018-05,13
Crumpsall,2018-06,19
Crumpsall,2018-07,13
Crumpsall,2018-08,15
Crumpsall,2018-09,15
Crumpsall,2018-10,5
Crumpsall,2018-11,23
Crumpsall,2018-12,21
Didsbury East,2018-01,24
Didsbury East,2018-02,17
Didsbury East,2018-03,31
Didsbury East,2018-04,27
Didsbury East,2018-05,25
Didsbury East,2018-06,27
Didsbury East,2018-07,17
Didsbury East,2018-08,15
Didsbury East,2018-09,20
Didsbury East,2018-10,28
Didsbury East,2018-11,26
Didsbury East,2018-12,18
Didsbury West,2018-01,23
Didsbury West,2018-02,19
Didsbury West,2018-03,24
Didsbury West,2018-04,23
Didsbury West,2018-05,36
Didsbury West,2018-06,15
Didsbury West,2018-07,25
Didsbury West,2018-08,32
Didsbury West,2018-09,18
Didsbury West,2018-10,22
Didsbury West,2018-11,19
Didsbury West,2018-12,13
Fallowfield,2018-01,19
Fallowfield,2018-02,15
Fallowfield,2018-03,16
Fallowfield,2018-04,16
Fallowfield,2018-05,30
Fallowfield,2018-06,29
Fallowfield,2018-07,17
Fallowfield,2018-08,15
Fallowfield,2018-09,33
Fallowfield,2018-10,27
Fallowfield,2018-11,14
Fallowfield,2018-12,39
Gorton North,2018-01,33
Gorton North,2018-02,23
Gorton North,2018-03,14
Gorton North,2018-04,27
Gorton North,2018-05,22
Gorton North,2018-06,35
Gorton North,2018-07,23
Gorton North,2018-08,29
Gorton North,2018-09,18
Gorton North,2018-10,24
Gorton North,2018-11,16
Gorton North,2018-12,26
Gorton South,2018-01,16
Gorton South,2018-02,15
Gorton South,2018-03,21
Gorton South,2018-04,26
Gorton South,2018-05,13
Gorton South,2018-06,19
Gorton South,2018-07,25
Gorton South,2018-08,14
Gorton South,2018-09,16
Gorton South,2018-10,24
Gorton South,2018-11,15
Gorton South,2018-12,14
Harpurhey,2018-01,35
Harpurhey,2018-02,38
Harpurhey,2018-03,35
Harpurhey,2018-04,37
Harpurhey,2018-05,31
Harpurhey,2018-06,28
Harpurhey,2018-07,32
Harpurhey,2018-08,32
Harpurhey,2018-09,38
Harpurhey,2018-10,33
Harpurhey,2018-11,49
Harpurhey,2018-12,37
Higher Blackley,2018-01,16
Higher Blackley,2018-02,6
Higher Blackley,2018-03,15
Higher Blackley,2018-04,6
Higher Blackley,2018-05,11
Higher Blackley,2018-06,13
Higher Blackley,2018-07,8
Higher Blackley,2018-08,6
Higher Blackley,2018-09,5
Higher Blackley,2018-10,8
Higher Blackley,2018-11,7
Higher Blackley,2018-12,8
Hulme,2018-01,8
Hulme,2018-02,15
Hulme,2018-03,13
Hulme,2018-04,13
Hulme,2018-05,13
Hulme,2018-06,10
Hulme,2018-07,20
Hulme,2018-08,3
Hulme,2018-09,9
Hulme,2018-10,10
Hulme,2018-11,14
Hulme,2018-12,11
Levenshulme,2018-01,21
Levenshulme,2018-02,24
Levenshulme,2018-03,28
Levenshulme,2018-04,24
Levenshulme,2018-05,27
Levenshulme,2018-06,13
Levenshulme,2018-07,19
Levenshulme,2018-08,33
Levenshulme,2018-09,13
Levenshulme,2018-10,17
Levenshulme,2018-11,26
Levenshulme,2018-12,26
Longsight,2018-01,12
Longsight,2018-02,8
Longsight,2018-03,18
Longsight,2018-04,20
Longsight,2018-05,19
Longsight,2018-06,21
Longsight,2018-07,35
Longsight,2018-08,23
Longsight,2018-09,18
Longsight,2018-10,26
Longsight,2018-11,20
Longsight,2018-12,23
Miles Platting and Newton Heath,2018-01,9
Miles Platting and Newton Heath,2018-02,16
Miles Platting and Newton Heath,2018-03,15
Miles Platting and Newton Heath,2018-04,19
Miles Platting and Newton Heath,2018-05,18
Miles Platting and Newton Heath,2018-06,6
Miles Platting and Newton Heath,2018-07,29
Miles Platting and Newton Heath,2018-08,16
Miles Platting and Newton Heath,2018-09,21
Miles Platting and Newton Heath,2018-10,17
Miles Platting and Newton Heath,2018-11,21
Miles Platting and Newton Heath,2018-12,15
Moss Side,2018-01,21
Moss Side,2018-02,14
Moss Side,2018-03,16
Moss Side,2018-04,25
Moss Side,2018-05,19
Moss Side,2018-06,19
Moss Side,2018-07,26
Moss Side,2018-08,22
Moss Side,2018-09,18
Moss Side,2018-10,27
Moss Side,2018-11,31
Moss Side,2018-12,32
Moston,2018-01,23
Moston,2018-02,14
Moston,2018-03,20
Moston,2018-04,15
Moston,2018-05,14
Moston,2018-06,9
Moston,2018-07,13
Moston,2018-08,8
Moston,2018-09,12
Moston,2018-10,16
Moston,2018-11,23
Moston,2018-12,20
Northenden,2018-01,15
Northenden,2018-02,10
Northenden,2018-03,7
Northenden,2018-04,17
Northenden,2018-05,26
Northenden,2018-06,12
Northenden,2018-07,13
Northenden,2018-08,20
Northenden,2018-09,13
Northenden,2018-10,12
Northenden,2018-11,10
Northenden,2018-12,12
Old Moat,2018-01,21
Old Moat,2018-02,23
Old Moat,2018-03,26
Old Moat,2018-04,22
Old Moat,2018-05,18
Old Moat,2018-06,26
Old Moat,2018-07,26
Old Moat,2018-08,31
Old Moat,2018-09,16
Old Moat,2018-10,35
Old Moat,2018-11,37
Old Moat,2018-12,34
Rusholme,2018-01,24
Rusholme,2018-02,21
Rusholme,2018-03,28
Rusholme,2018-04,23
Rusholme,2018-05,25
Rusholme,2018-06,18
Rusholme,2018-07,23
Rusholme,2018-08,29
Rusholme,2018-09,37
Rusholme,2018-10,37
Rusholme,2018-11,42
Rusholme,2018-12,46
Sharston,2018-01,9
Sharston,2018-02,9
Sharston,2018-03,20
Sharston,2018-04,8
Sharston,2018-05,19
Sharston,2018-06,8
Sharston,2018-07,11
Sharston,2018-08,10
Sharston,2018-09,11
Sharston,2018-10,9
Sharston,2018-11,10
Sharston,2018-12,7
Whalley Range,2018-01,8
Whalley Range,2018-02,10
Whalley Range,2018-03,12
Whalley Range,2018-04,16
Whalley Range,2018-05,27
Whalley Range,2018-06,17
Whalley Range,2018-07,14
Whalley Range,2018-08,13
Whalley Range,2018-09,11
Whalley Range,2018-10,16
Whalley Range,2018-11,17
Whalley Range,2018-12,9
Withington,2018-01,37
Withington,2018-02,49
Withington,2018-03,42
Withington,2018-04,44
Withington,2018-05,31
Withington,2018-06,32
Withington,2018-07,16
Withington,2018-08,27
Withington,2018-09,47
Withington,2018-10,34
Withington,2018-11,40
Withington,2018-12,35
Woodhouse Park,2018-01,9
Woodhouse Park,2018-02,9
Woodhouse Park,2018-03,20
Woodhouse Park,2018-04,11
Woodhouse Park,2018-05,5
Woodhouse Park,2018-06,15
Woodhouse Park,2018-07,11
Woodhouse Park,2018-08,9
Woodhouse Park,2018-09,9
Woodhouse Park,2018-10,11
Woodhouse Park,2018-11,10
Woodhouse Park,2018-12,6